Accession	Virus Name	Submitter Affiliation	Submitter Names	dataset
CY255377.1	Influenza A virus (A/South Australia/147/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255369.1	Influenza A virus (A/South Australia/143/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255361.1	Influenza A virus (A/South Australia/141/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255353.1	Influenza A virus (A/South Australia/138/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255337.1	Influenza A virus (A/Brisbane/291/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255329.1	Influenza A virus (A/Brisbane/287/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255321.1	Influenza A virus (A/Brisbane/285/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255313.1	Influenza A virus (A/Brisbane/273/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255305.1	Influenza A virus (A/Townsville/1003/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255281.1	Influenza A virus (A/Canberra/93/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255273.1	Influenza A virus (A/Canberra/80/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255265.1	Influenza A virus (A/Victoria/624/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255257.1	Influenza A virus (A/Newcastle/201/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255249.1	Influenza A virus (A/Victoria/123/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255241.1	Influenza A virus (A/Victoria/109/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255233.1	Influenza A virus (A/Tasmania/97/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255225.1	Influenza A virus (A/Tasmania/92/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255209.1	Influenza A virus (A/Darwin/1008/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255201.1	Influenza A virus (A/Brisbane/231/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255193.1	Influenza A virus (A/Brisbane/225/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255185.1	Influenza A virus (A/Brisbane/224/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255177.1	Influenza A virus (A/Newcastle/190/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255169.1	Influenza A virus (A/Newcastle/187/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255153.1	Influenza A virus (A/Darwin/1006/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255145.1	Influenza A virus (A/Tasmania/141/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255137.1	Influenza A virus (A/Sydney/297/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255129.1	Influenza A virus (A/South Australia/117/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255121.1	Influenza A virus (A/South Australia/112/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255113.1	Influenza A virus (A/South Australia/107/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255105.1	Influenza A virus (A/Victoria/1014/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255097.1	Influenza A virus (A/South Australia/1007/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255089.1	Influenza A virus (A/Victoria/1012/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255081.1	Influenza A virus (A/Sydney/1094/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255073.1	Influenza A virus (A/Victoria/2516/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255065.1	Influenza A virus (A/South Australia/115/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255049.1	Influenza A virus (A/South Australia/118/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255041.1	Influenza A virus (A/South Australia/108/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255033.1	Influenza A virus (A/South Australia/106/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255025.1	Influenza A virus (A/Sydney/1092/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY255009.1	Influenza A virus (A/Victoria/72/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY254993.1	Influenza A virus (A/Victoria/71/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY254985.1	Influenza A virus (A/Darwin/1002/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY254977.1	Influenza A virus (A/Victoria/600/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY254961.1	Influenza A virus (A/Sydney/1065/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY254953.1	Influenza A virus (A/Sydney/1059/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY254945.1	Influenza A virus (A/Brisbane/1009/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY254937.1	Influenza A virus (A/Brisbane/1008/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY254929.1	Influenza A virus (A/Tasmania/24/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
CY254905.1	Influenza A virus (A/Victoria/589/2016(H3N2))	on behalf of JCVI/The Peter Doherty Institute for Infection and Immunity/NCBI, National Center for Biotechnology Information, NIH	Tan,G.,Pickett,B.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Bao,Y.,Sanders,R.,Zhdanov,S.,Kiryutin,B.,Lipman,D.J.,Tatusova,T.,Hatcher,E.,Barr,I.	seasonal-flu-h3n2-ha-2016-2018
